Product	Product information				One-to-one comparison					Source			Individual analyte levels reported																			Additional information		Supporting fields for one-to-one comparison			DRI	
	Category	Country	Reported packaging type	Sample size (n)	Summarized findings (ng/serving)	Compounds tested	Phthalates (ng/serving)	Phthalate substitutes (ng/serving)	Bisphenols (ng/serving)	Author	Title	Published	Reporting format	Mean DBP (ng/g)	Mean BBP (ng/g)	Mean DEHP (ng/g)	Mean DINP (ng/g)	Mean DIDP (ng/g)	Mean DMP (ng/g)	Mean DEP (ng/g)	Mean DIBP (ng/g)	Mean DNHP (ng/g)	Mean DCHP (ng/g)	Mean DNOP (ng/g)	Mean DIDA (ng/g)	Mean DEHA (ng/g)	Mean DINCH (ng/g)	Mean DEHT (ng/g)	Mean BPA (ng/g)	Mean BPS (ng/g)	Mean BPF (ng/g)	Serving size (g)	Notes	Phthalates (n)	Phthalate substitutes (n)	Bisphenols (n)	Created	Reviewed
Lentils	Grain	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	D	0	0	60	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Grape	Fruits and vegetables	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	D	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Blueberries	Fruits and vegetables	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Pineapple	Fruits and vegetables	Spain	Plastic	32	5,560 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	5,560	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	11.3 (4.6)	44.3 (2.8)	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Raspberry	Fruits and vegetables	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Melon	Fruits and vegetables	Spain	Plastic	32	1,812 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	1,812	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7.86 (4.21)	4.22 (2.13)	0	150	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Apple	Fruits and vegetables	Spain	Not packed	32	2,805 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	2,805	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.0 (9.1)	12.7 (1.6)	0	150	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Apple	Fruits and vegetables	Spain	Plastic	32	1,710 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	1,710	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.9 (2.4)	8.5 (3.3)	0	150	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Pear	Fruits and vegetables	Spain	Not packed	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	150	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Frozen red fruit mix	Fruits and vegetables	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Frozen mango	Fruits and vegetables	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	D	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Frozen chopped garlic	Fruits and vegetables	Spain	Plastic	32	7 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	7	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	1.36 (0.77)	0	5	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Frozen chopped onion	Fruits and vegetables	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	30	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Frozen chopped parsley	Fruits and vegetables	Spain	Plastic	32	333 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	333	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	33.3 (13.9)	0	10	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Frozen spinach	Fruits and vegetables	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	D	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Tomato	Fruits and vegetables	Spain	Not packed	32	470 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	470	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	4.7 (2.2)	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Tomato	Fruits and vegetables	Spain	Plastic	32	2,590 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	2,590	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	25.9 (10.7)	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Striped carrot	Fruits and vegetables	Spain	Plastic	32	920 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	920	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	11.5 (5.3)	0	80	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Carrot	Fruits and vegetables	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	D	0	80	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Lettuce	Fruits and vegetables	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	30	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Pumpkin	Fruits and vegetables	Spain	Plastic	32	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Mushrooms	Fruits and vegetables	Spain	Plastic	32	1,600 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	1,600	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	16.0 (6.9)	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Green pepper	Fruits and vegetables	Spain	Not packed	32	2,750 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	2,750	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	27.5 (6.3)	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Cooked ham	Meat and poultry	Spain	Plastic	21	330 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	330	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.6 (3.4)	0	0	50	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Spicy sausage	Meat and poultry	Spain	Plastic	21	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	50	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Spicy sausage	Meat and poultry	Spain	Plastic	21	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	50	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Chicken burguer	Meat and poultry	Spain	Plastic	21	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Chicken burguer	Meat and poultry	Spain	Plastic	21	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Sausage (Chorizo)	Meat and poultry	Spain	Plastic	21	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	50	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Serrano ham	Meat and poultry	Spain	Plastic	21	1,698 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	1,698	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	17.3 (14.9)	39.3 (21.3)	0	30	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Plain yogurt (sweetened)	Dairy	Spain	Plastic	21	4,482 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	4,482	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	29.88 (18.6)	0	0	150	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Plain yogurt (sweetened)	Dairy	Spain	Plastic	21	1,845 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	1,845	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12.3 (6.0)	0	0	150	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Guacamole	Condiments	Spain	Plastic	21	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	D	0	30	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Olives	Fruits and vegetables	Spain	Plastic	21	255 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	255	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	8.5 (5.4)	0	30	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Olives	Fruits and vegetables	Spain	Plastic	21	906 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	906	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	30.2 (7.7)	0	30	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Anchovy stuffed olives	Seafood	Spain	Can	21	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	30	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Semi-cured cheese	Dairy	Spain	Plastic	21	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	D	0	0	30	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Semi-cured cheese (slice)	Dairy	Spain	Plastic	21	168 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	168	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	5.6 (1.9)	0	30	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Pasta	Grain	Spain	Plastic	21	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	80	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Rice (for microwave)	Grain	Spain	Plastic and paperboard	21	198 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	198	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	3.3 (1.4)	0	60	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Canned tuna in oil	Seafood	Spain	Can	21	22,495 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	22,495	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	409.0 (31.0)	0	0	55	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Canned tuna in oil	Seafood	Spain	Can	21	10,329 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	10,329	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	D	187.8 (14.2)	0	55	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Canned sweet corn	Fruits and vegetables	Spain	Can	21	3,416 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	3,416	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	42.7 (6.2)	0	0	80	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Cake	Processed food	Spain	Not packed	21	170 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	170	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	1.7 (0.7)	0	100	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Sausage (Hot dogs)	Meat and poultry	Spain	Plastic	47	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	60	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Turkey cold cut	Meat and poultry	Spain	Plastic	47	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	50	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
Sausage (Turkey cold)	Meat and poultry	Spain	Plastic	47	0 ng/serving for 3 bisphenols	Bisphenols: BPA, BPS, BPF	0	0	0	Gálvez-Ontiveros et al.	Presence of Parabens and Bisphenols in Food Commonly Consumed in Spain	2021	mean (SD)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	50	Sample size reported for all unprocessed or minimally processed foods. The study tested the foods for 4 more bisphenols not included here, but did not find amounts above the LOQ in any of the samples.	0	0	3	Chandhana	Yaroslav
